1127,1.000,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000
1364,0.400,0.120,0.480,0.600,0.360,0.000,0.640,0.480,0.000,0.520
1367,0.167,0.778,0.889,0.667,1.000,0.611,0.000,0.000,0.778,0.944
1456,0.818,1.000,0.727,0.364,0.636,0.000,0.000,0.000,0.000,0.091
1556,0.522,0.739,0.261,0.000,0.870,0.957,0.609,0.435,0.174,0.652
1705,0.000,0.000,0.692,0.115,0.115,0.038,0.654,0.808,0.385,1.000
1756,1.000,0.250,0.875,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1780,1.000,0.200,0.067,0.933,0.000,0.000,0.267,0.533,0.000,0.000
1783,0.840,0.440,0.120,0.120,0.480,0.760,0.440,0.440,0.520,0.760
1996,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.364
2046,0.565,0.478,0.435,0.348,1.000,0.870,0.609,0.696,0.739,0.522
2062,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.500,0.000,0.833
2063,0.880,0.400,0.160,0.200,0.200,0.960,0.720,1.000,0.800,1.000
2124,0.143,0.000,0.071,0.714,0.643,0.857,0.500,0.000,0.000,0.429
2156,0.000,0.591,0.136,0.000,1.000,0.364,0.045,0.000,0.000,0.000
2218,0.393,0.464,0.214,0.000,0.000,0.000,0.429,0.607,0.429,0.179
2219,0.414,1.000,0.517,0.345,0.069,0.862,0.586,0.000,0.000,0.000
2399,0.815,0.296,0.037,0.000,1.000,0.741,0.000,0.000,0.407,0.000
2400,0.000,0.474,0.000,1.000,0.579,0.000,0.000,0.000,0.789,0.474
2420,0.348,0.000,0.739,0.000,0.391,0.652,0.435,0.304,0.565,0.783
2551,0.323,1.000,0.613,0.161,0.323,0.581,0.290,0.000,0.484,0.000
2587,0.000,1.000,0.417,0.167,0.167,0.250,0.000,0.000,0.000,0.000
2666,1.000,0.538,0.154,0.000,0.000,0.385,0.269,0.000,0.000,0.000
2739,0.000,0.000,1.000,0.467,0.467,0.467,1.000,0.333,0.067,0.667
2924,0.000,1.000,0.947,0.579,0.000,0.000,0.000,0.789,0.000,0.000
2968,1.000,0.625,0.875,0.187,0.000,0.875,0.375,0.000,0.938,0.000
3018,0.394,0.485,0.364,0.121,0.061,0.394,0.364,0.121,1.000,0.485
302,0.000,1.000,0.187,0.000,0.313,0.813,0.000,0.000,0.875,0.000
3114,0.000,0.571,0.429,0.143,0.964,0.321,0.107,0.000,0.714,0.000
3216,1.000,0.357,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3221,0.318,0.818,0.909,0.545,0.409,0.182,0.682,0.273,0.000,0.136
3382,0.379,0.621,0.103,1.000,0.586,0.241,0.000,0.310,0.345,0.345
3706,0.571,0.000,0.000,0.929,0.357,0.000,0.000,0.000,0.571,0.857
3768,0.304,0.130,0.739,0.174,0.000,0.522,0.913,0.478,0.522,0.000
3853,1.000,0.000,0.800,0.000,0.400,0.000,0.000,0.000,0.000,0.000
3864,0.100,0.000,0.000,0.000,0.000,0.000,0.200,0.650,1.000,0.600
3976,0.000,0.000,0.667,0.667,1.000,0.000,0.000,0.000,0.000,0.000
4289,0.357,0.571,0.679,0.000,1.000,0.929,0.286,0.143,0.321,0.357
4315,0.613,0.258,0.065,0.419,0.419,0.935,0.613,0.258,0.000,0.774
436,0.071,0.929,0.429,0.000,0.071,1.000,0.000,0.000,0.000,0.000
4602,0.000,0.684,0.421,0.000,0.526,0.632,0.000,0.000,1.000,0.632
4706,0.000,1.000,0.133,0.000,0.000,0.067,0.000,0.000,0.000,0.000
472,-0.034,-0.078,-0.071,-0.047,-0.025,-0.062,-0.040,0.000,0.000,-0.059
473,0.333,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4781,0.636,0.318,1.000,0.773,0.545,0.545,0.773,0.136,0.000,0.000
483,0.148,0.148,0.407,0.296,0.148,0.000,0.000,1.000,0.000,0.000
